userName,score,at,content
M.FAIZ FAUZI,5,2023-11-02 04:34:23,semoga sikadu dan elena bisa jadi satu di MyUnnes
alifia latif,5,2023-11-01 23:46:30,"memudahkan saya dalam mengingat matkul dan ruang kelas, menerima pesan broadcast dan info info lain mengenai unnes. terimakasih"
Hery Marsellas,5,2023-11-01 13:51:37,❤️
Muhammad Khuirul Huda,3,2023-11-01 13:31:57,Tidak support android 6 (force close setelah update 27 Oktober 2023)
iron wasini,1,2023-10-31 23:29:02,Sangat bagus untuk mahasiswa unnes
Mizyaal Ihsan,5,2023-10-31 15:15:19,"Aplikasi sudah bagus,sebaiknya ditambahin sikadu dan elena juga supaya jadi satu"
Bobaw gantenk,1,2023-10-31 12:42:45,Jujurly ak bingung ama ini aplikasi kok mahasiswa UI ga bisa pakai
Fahmi Nurhadi,4,2023-10-31 11:01:27,Tambah keren
MUHAMMAD DAVIN PRATAMA,5,2023-10-31 09:41:26,"Ya Kalau Bisa Kedepannya Sikadu Dan Kawan Kawannya Bisa Di Lebur Menjadi Satu Di Aplikasi My Unnes Karena Sudah Sangat Bagus Aplikasi My Unnes, Sangat Sayang Jika Sikadu Terpisah Dengan My Unnes"
Mizan,1,2023-10-18 10:19:10,"liat jadwal kudu konek internet, so far fitur lain gada urgensi"
Kevin Marpaung,5,2023-09-19 09:53:42,gacor
Ribra,3,2023-08-25 00:58:11,Punyaku masih ngebug cuman ada tamlilan mahasiswanya doang
Alter Naivel,1,2023-08-23 16:41:17,buat apa install app ini kalo cuma buat login di web ujung-ujungnya? aneh
Mayla Al,4,2023-08-22 15:46:32,"Bangus banget, apknya membantu"
Sriwahyuni Sriwahyuni,5,2023-08-21 00:43:03,👍👍👍
Ma'ruf Abdi,1,2023-08-18 03:48:17,Gajelas
Cobaan Dia,1,2023-08-17 23:26:38,Saya kecewa bahwa ospek sampe hari Minggu ga ada liburrr . Walaupun badan saya sakit sakit saya tetep berangkat emNg anj dan ngga ada makanan rmang gw cowo apaan
Lort Fizi,1,2023-08-16 08:15:21,"Analog susah digerakkan,,grafik gak bisa mentok kanan padahal pake chipset SD 8+ gen 2"
Faaza Asykar Muhammad,1,2023-08-14 04:22:16,putih doang layarnya
Mohammad Fatahullah,1,2023-08-11 04:29:26,Aplikasi ga guna
tya pradistyaa,1,2023-08-08 08:59:10,"hanya download untuk syarat login elena, repeat begitu terus. harusnya kalau memang mau dikembangkan sekalian saja elena dan apps lain dijadiin satu disini! biar ngga penuh memori saya, udah penuh tugas penuh aplikasi juga!!!💀💀💀"
Aeon,1,2023-08-03 03:20:26,"bikin repot aja, mau buka sikadu harus login app ini dulu. gunanya apa juga, kalau fitur sebatas kaya bot tele nya"
wahyu ooes,1,2023-07-19 05:41:23,Kalau bisa d buat sulit kenapa harus di permudah
Arif Setiawan,1,2023-07-15 10:21:10,Aplikasi gapenting
Yoga eka Saputra,1,2023-07-06 06:49:25,Gak tau pentingnya apa ni apk
Leonardus Pratama,1,2023-06-04 19:30:09,Ra well
Bright Vacirawit,1,2023-05-15 00:45:31,"Ngerepotin aja anjir, mau buka SIKADU pas lagi urgent ada aja harus buka dulu aplikasi ini. Fungsinya apasih? sama aja kaya SIKADU dan bot tele lebih simple dan ga makan banyak ruang. Think smart!!!!"
Zaskia Ayu Ardita,1,2023-05-08 13:32:52,Aplikasi kurang berguna dan hanya memberatkan memori ponsel.
ILHAM PURNAMA SAKTI_FMIPA,3,2023-05-03 04:55:22,kayanya kalo semua menu apps unnes ada di apk nya lebih memudahkan mahasiswa deh
Soni Dewantara,5,2023-05-02 21:10:24,UKT elit birokrasi sulit
Vichtoria Vee,1,2023-05-02 09:45:52,"Ngerepotin doang, nggak berguna"
Sekar Risqi,1,2023-05-01 06:53:51,Gabisa dibuka
Hafidh Febrian,1,2023-04-29 03:15:57,ribet
Radya Nasyawa,1,2023-04-16 06:22:51,Sikadu suka bgt error Kalau lagi genting ngak bisa dibuka. Ngak ada guna nyaaa
Putri kartika,2,2023-04-13 09:31:14,Udah hampir sebulan apknya waktu dibuka cuman layar abu abu padahal udah di download ulang sama aja...
pangestu jaya,1,2023-04-11 03:55:10,"Dibuka burem semua, udah seminggu lebih, gada perbaikan bug, seriously bruh? 💀"
CaraTwice 97,1,2023-03-13 02:52:23,Jujur ini ga penting. Dengan ukuran segini fiturnya bisa dimaksimalkan. Sama2 segini mending Download tik tok lite. Apalagi setelah uninstall lebih dari 30 hari harus install ulang
Kartun War,5,2023-02-27 06:34:53,"Perbanyak fiturnya min , aplikasi udah bagus dan membantu . Tnks unnes"
remahanupill,5,2023-02-24 15:28:22,Jadi gampang banget akses my Unnes sekarang nggak perlu lagi login web tapi kalau bisa ada fitur top up IP yg bisa membantu banyak mahasiswa
Fajrina Amalia Nedeva,1,2023-02-19 11:23:56,"Apk ga guna ih fiturnya sama kek bot tele, disuruh donlot biar apa? Biar keliatan banyak yg donlot kah? Jembatan elit aplikasi sulit. Serumit itu kah nambahin fitur yg biasanya diakses mahasiswa di apk ini? Kyk sikadu elena gitu gitu kan bisa ya biar ga logan login capek plus apk nya jadi berguna dikit. Memberi dislike untuk apk ini"
Ahmad Muhamad Solihin,1,2023-02-10 01:34:12,aplikasi rusak
azis nurrohman,1,2023-02-08 13:32:47,ulasan ini bersifat publik
NAUFAL RIZQI ADISTYA,1,2023-01-31 04:22:38,"Login elena pun harus login my unnes setiap 30 hari, kurang efisien"
Dewi Mutiarani,1,2023-01-25 01:22:42,AGAK GAK GUNA SEBENERNYA-_-
Muh Iqbal,1,2023-01-10 12:39:34,"Harusnya myunnes mempermudah mahasiswanya, ini malah mempersulit gmn sih"
Alifa mauludyah dzukha,1,2023-01-06 14:56:28,Fiture tidak selalu digunakan mahasiswa kuliah. Jadwal juga sudah terdapat ditelegram. Semua fitur sudah ada di web unnesapps.. buka cuman buat syarat login unnes apps.. setelah itu aplikasi nganggu useless.. maaf tapi itu yang saya rasakan
frida8114,1,2023-01-04 13:07:04,Aplikasi tolol
Luluk Mustafidah,1,2022-12-09 05:30:30,Ribet bangeet masak mau buka elena login dulu😩😩
bloom rembang,4,2022-12-05 12:44:06,"Harap segera disempurnakan, notifikasi di android ada terkait informasi terbaru, namun ketika di klik, tidak ada informasi di aplikasi. Jadi tidak sempat membaca."
Ahmad Miftah,1,2022-12-02 11:53:47,"Gara gara my unnes TUGAS SAYA JADI OVERDUE. Saya disuruh login lagi setiap bulan, dan saat saya login malah muter terus"
Jigsaw31,1,2022-11-26 00:54:03,Gak guna
kita teman chanel,1,2022-11-20 15:49:59,"Mau login elena, harus disuruh nginstal aplikasi ini. Maksa banget..."
ᎪdhamNֆ,4,2022-11-20 10:30:15,"Not Bad Lah, tambahin fitur"" nya lagi aja sih :v"
Beni Arya,1,2022-10-15 04:35:52,"Gua percaya unnes bisa bikin aplikasi bagus, untuk sementara segini duls, klo dah bagus baru naikin wmwkwk"
Kana HN,1,2022-10-09 16:59:43,"Buat buka elena ngga bisa, memberatkan sekali buat mahasiswa yang ngga buka my Unnes. Padahal di myunnes cuman ada jadwal doang, plis lah ngga guna banget aplikasinya. Jadwalnya kan biasa di taruh jd wallpaper hp, jd ngga perlu buka myunnes. Sekaline ngga buka myunnes malah ngga bisa buka elena!!!"
Asharul Fahyudi,5,2022-10-05 15:05:51,Bagus aplikasinya
David Firdaus,1,2022-09-22 03:00:41,Kenapa harus login my unnes dulu ketika ingin buka sikadu/elena. Sangat meresahkan hmm
Ayu febri Anitasari,2,2022-09-15 04:56:21,"Aplikasinya kurang memadahi, saya harus download karena tidak bisa login elena. Penyimpanan ponsel saya penuh, dan bingung harus hapus file apa lagi. Kenapa diharuskan download terlebih dahulu jika fiturnya bisa diakses di telegram? Maaf, dan semoga bisa lebih dikembangkan aplikasinya."
Bismillah Ytprem1,1,2022-09-14 22:42:16,jd harus ttp make apk sm web
Aji Pranata,1,2022-08-26 14:59:01,"Ribet, ujung²nya submit tugas elena dll. Juga lewat chrome, gunanya apa?. Kalo jadwal mah bisa notice sendiri di kalender"
Angeline Silalahi,3,2022-08-26 01:22:36,"Secara tampilan sih udh ok, cm kurang penampilan notifikasi sama tambahan fitur widget aja"
A10_Sandhica Surya,1,2022-08-25 02:19:03,"Tidak berguna, udah ada yg telegram ngapain dibuat ini. Malah jadi mempersulit buat buka yg di browser"
Andika Candra,1,2022-08-10 04:45:54,"Semoga kedepannya semua yang ada di web unnes termasuk sikadu, elena, dll bisa masuk ke aplikasi ini. Soalnya secara fitur² yang ada kurang gitu kepakai juga (dalam artian toh masih bisa lewat bot atau kalo ult bisa lewat wa saja, jadwal juga lewat websitenya aja daripada download cuman menuh²in hp) Bakal lebih kepakai kalo ada fitur² kayak elena, sikadu, dapok, dll."
Kali Warenk,1,2022-08-08 17:34:10,Ribet sekali wkwkw
Bagas Adi Nugroho,1,2022-08-03 02:14:10,Aplikasi yg kacau dan menyusahkan mahasiswa nya sendiri
Kay,1,2022-08-02 03:19:50,"Harus download apk ini agar bisa masuk aps unnes di web, sangat tidak efektif dan menyebalkan. Saya rasa para pengguna hp kentang dan penyimpanan penuh juga setuju."
No one,4,2022-07-28 13:09:49,Disuruh kasih bintang 1 ama temen
Novindriwati Nabilah,1,2022-07-27 13:51:44,Semoga aplikasi ini cepat di takedown karena sudah tidak berguna dan menyusahkan orang yg memori hpnya terbatas
Faizal Rizqi,1,2022-07-27 10:29:02,Sangat awikwok sekali apk ini
Canggih Ayu,1,2022-07-27 06:58:50,Useless
Kunti Shouma Tsaniya,1,2022-07-27 03:28:52,Memoriku:'(
Mas Aceng,1,2022-07-25 05:28:46,Mantap pak
yaomi inaya,1,2022-07-25 05:15:56,"Ketika saya mau login, hp saya tiba-tiba freeze. Kemudian ketika saya menggunakan akun Gmail Unnes saya, saya dipaksa mengatur kata sandi untuk layar kunci saya. Padahal saya sendiri sangat benci layar kunci :("
Ulya Sekar,1,2022-07-25 01:17:55,Apk yg mempersulit mahasiswa buat buka elena dan sikadu
Marufi Hakiki,1,2022-07-23 04:42:31,"apk nya sangat loading lama, buat login nya jga sangat membutuhkan waktu yang lama jga"
Khal Moliq,1,2022-07-22 14:01:15,Aplikasi penambah beban
Demetra Fanholhem,1,2022-07-22 11:56:49,"Gak ada kemajuan sama sekali malah enak pakai situs dari pada ini aplikasi, seharusnya di perbaiki sesuai dengan situs"
Eno Marta,1,2022-07-21 13:17:53,"Ngeribetin banget. Mau buka sikadu dan sebagainya harus install ini dulu, kalo ga log in sebulan disini juga gabisa masuk yang di web. Iya kalo ini fiturnya bisa sama kaya yang web, lah orang gabisa dibuat apa apa juga disini. Terus apa gunanya."
Tantowi X-friend,1,2022-07-07 05:50:58,"Segara hapus aplikasi ini,karena menyusahkan mahasiswa yang tidak memiliki handphone ataupun yang memiliki notif penyimpanan penuh di handphone seperti saya,saya harus meminjam handphone Kaka saya untuk menginstal aplikasi ini, untung saya masih kuliah di rumah, bagaimana kalau saya sudah kuliah di Semarang,apa pihak kampus mau membelikan saa unit handphone baru?? SUNGGUH APLIKASI MENYUSAHKAN"
Ahmad Nur Ferdi,1,2022-07-01 06:46:48,Untuk perangkat saya Redmi K40 tidak bisa melakukan login
mufa zuan,1,2022-06-30 13:39:23,"Menurut saya apk ini secara UI sudah bagus untuk versi pertama, mungkin ada beberapa masukan seperti perlunya menambah fitur yg memberikan akses mudah mahasiswa dalam melaksanakan kuliah, dan lebih baik lagi jika fitur notif bunyi ditambahkan, akses fitur seperti ujian, sikadu, dan elena dimasukkan kedalam one step access di apk my Unnes. Yg terakhir, Krn saya liat koordinasi terkait kuliah masih sering miskomunikasi, ada baiknya my Unnes disediakan fitur hubungi dosen terkait"
raikhan faris,1,2022-06-28 02:43:08,Fungsi app nya buat apa
Khadija nur Alifa,5,2022-06-27 14:16:53,"Keren dan memudahkan mhsiswa. Tapi sayang cuman ada fitur jadwal, kalender akademik, layanan ULT dan hotspot kampus. Smoga kedepannya bisa lebih dioptimalkan ♥️♥️"
Enny Cahyani,1,2022-06-24 13:05:29,"Google hapus aja aplikasi ini, ngga bisa akses apa apa aneh"
Rijal Hakim,1,2022-06-23 00:53:42,Cukup tau aja lah
puthut damarjati,1,2022-06-22 13:36:43,Eror terus
Santri Gayeng,1,2022-06-22 09:22:58,beban
Alawi Redmi,1,2022-06-22 05:50:05,Segini dulu sii
Arsyad Fadil,1,2022-06-21 14:08:00,Di paksa menginstal xD
Noersyrosma Wati,1,2022-06-21 07:05:52,"Ruang hp saya penuh pak,"
ZONA ANAK KOS,1,2022-06-21 06:58:17,"Apa iya, kalo kita Spam bintang 1 bakal jadi buronan dan NIMnya bakal dicari sama jajaran Rektor dan akademis Kampus adick-adick?, Bang Windah Basudara harus mencoba dan menamatkan game ini, Sangat seru Survival dan di setiap rintangan per semesternya... Belum lagi bocil p2w yang tiap semester selalu Top Up buat lanjutin disetiap level menuju Tamatnya..."
Meldy Septiawan,5,2022-06-21 04:55:45,Good
Oky Dwindrarif,1,2022-06-20 19:26:50,"bukannya mempermudah malah memperibet , idup dibuat ribet ga cape bang? :) , banyakin lg fiturnya , ga bs buka sikadu suruh download ni apk eh isinya gaje, mending komplitin dlu fitur di fix in baru di up ke pstore deh min min jangan buru2 malah ga maksimal jadinya ,auto bintang 1 si , nb : ga usah baperan lu klo dikritik"
Ibrohim Adha,1,2022-06-20 16:01:04,"Bisa masuk sikadu dan elena di apk ini , janji bintang 5🥰"
Afif Mu'taz,5,2022-06-20 15:27:15,"Tetap kembangkan, saya merasa terganti dan lebih modern dibanding hanya menggunakan website saja.. Terimakasih unnes"
Lutfi A,1,2022-06-20 14:47:13,Apaan tuch
Yuvi Xiao,1,2022-06-20 14:44:25,Ehehehe
ishak rouf,2,2022-06-20 13:22:08,Woi mau cek sikaduuuu
Branjang Senna Poetra Warman,5,2022-06-20 13:02:11,"Aplikasi ini sangat jelek sekali ...................................................................................................................................................... Apa lu liat sampe sini................................................................................................................................................................................................................................................................... Tapi boong hayuuuk, papale papale"
Wahyu Mutiana,5,2022-06-20 11:40:00,Yuk kembangin lagi buat lebih canggih
Indra W,1,2022-06-20 11:26:28,Kapitalisme versi apa lagi ini?
Hai Kamu,1,2022-06-20 09:48:56,NT min kirain bisa buka sikadu
Riyanti Endah,1,2022-06-20 08:45:06,"Saya kira bisa dipake buat cek sikadu dll, ternyata engga:))"
Aenanuzululrahma _,1,2022-06-20 07:46:01,"Ram hp cuma 2gb, harus dipaksa instal zoom, gmeet, telegram ini ditambah aplikasi ini :')) Dahla rest in peace hp kentangku, kamu sudah bekerja keras 😌"
Carpet Fluffy,5,2022-06-20 07:38:37,Semoga . . .. ammiin
Yusi Muhammad Sodrik,1,2022-06-20 07:00:48,Grafiknya burik
KAPAS TEAM,5,2022-06-20 05:48:26,"Bagi teman teman yang belum bisa login sikadu padahal sudah install dan login di my unnes, bisa buka tab notifikasi di pojok kanan atas di my unnes ya...., Kalau udah bisa buka sikadu lagi, terima kasih 🙏"
Hastuti Puri Rahmawati,1,2022-06-20 05:48:12,"Gajelas, gunanya buat apa coba? Bikin penuh penyimpanan doang hadeh. Lain kali tolong lebih efisien ruang. Kasihan org lain yg hpnya ga memadahi buat pasang apk ini kan jd gabisa buka sikadu, elena, dll. Tolong lebih dipikirkan dan dicermati!!!!!!!!"
Ahmad Muslikhin,1,2022-06-20 05:35:24,"Sangat bagus, tapi lebih bagus gausah pake apk"
Mas Agung,5,2022-06-20 05:35:10,"Aplikasinya bagus, karena yg jelek R*ktornya"
Zaidan (BAHA),1,2022-06-20 05:30:01,pie to ki
Alif Ardyan,3,2022-06-20 05:27:07,"Ayo bro mabar namatin, saran aja semoga dibuat mode open world."
Arif ViantOo,3,2022-06-20 05:21:58,janji bintang 5 kalo nilai saya keluar🙏
vibranium. sp,5,2022-06-20 05:16:03,"Saya kira sudah bisa buka sikadu lewat my unnes ternyata belum, fitur nya masih sedikit, tapi tetap apresiasi untuk unnes semoga ke depan bisa mengembangkan aplikasi ini lebih baik sehingga bisa akses sikadu tanpa lewat web"
Nizar PLAYS,1,2022-06-20 05:15:58,APLIKASI YANG SANGAT BERMANFAAT DAN SANGAT MEMBANTU MAHASISWA DALAM PROSES KULIAHNYA
Ghifar Dias Putra Tsalisu,1,2022-06-20 04:44:50,Tutor cek nilai dekk?
Sterben,1,2022-06-20 04:44:35,Cupu!
IOS SERVER,1,2022-06-20 04:44:00,Turunkan UKT!
Fajar Arif 07,1,2022-06-20 04:36:15,udh download ttp gabisa buka
Rendy Prasatmadja,1,2022-06-20 04:34:19,"Saya rasa ada yang perlu dipertimbangkan: 1. Kalau fiturnya kurang lebih sama seperti bot telegram, untuk apa? 2. Jika untuk mempermudah sebaiknya tambahkan fitur yang sering digunakan seperti sikadu, elena, dll. 3. Dan yang paling penting turunkan harga UKT. Saya harap dapat dipertimbangkan pendapat dan saran diatas TERUTAMA PADA NO.3 . Terimakasih🙏🙏"
Ad Diena-chan,2,2022-06-20 04:16:51,"Mau cek materi di elena malah suruh download aplikasi, pas download aplikasi bagus sih lebih ringkas tapi malah munculnya cuma jadwal sama aja ga isa buka elena.... Tetep aja bukanya lewat web.. Maksudnya gimana dah?"
ilham purnama sakti,5,2022-06-20 04:14:31,"aplikasi sangat bagus cuma lebih bagus lagi kalo misalkan semua menu yang ada di website itu ada di dalam aplikasi ini, supaya mempermudah kita biar ga bulak balik ke browser lagi, mudah mudahan di update selanjut nya bisa lebih baik lagi. terimakasih🙏"
Fitroh Miftahhh,1,2022-06-20 04:14:12,grafiknya tolong dibagusin min☝️
Stevanny V H,5,2022-06-20 03:39:37,Goood
Arsy's Design,1,2022-06-20 03:34:22,"Ujung""nya ttp buka sikadu via web. Ni konsepnya gamana to"
Toriq Ananta,1,2022-06-20 03:33:05,"Dipaksa install, sangat tidak ramah bintang satu!"
Fariz Surya Jaya,1,2022-06-20 03:10:51,Keren
devra raihan,1,2022-06-20 03:01:05,oke semangat muter dana nya
Wildan Ubay Dillah,3,2022-06-20 02:24:10,"Jadi ga bisa buka sikadu, elena dan transkip nilai. Segera di perbarui dong"
Fitia Arina Rahmayanti,1,2022-06-20 02:11:26,Trs apa gunanya download kalo gabisa buka sikadu. Please banget ini nambah ribet aja
Arum Sulistyowati,2,2022-06-20 02:08:47,Cara liat riwayat akademik nya mana oy apakah harus langsung ke dekan untuk melihat langsung atau gimna ini tidak ramah bintang 2
Fat Onah,1,2022-06-20 01:05:37,BIKIN RIBETT BUKA SIKADU JADI NGGAK BISA :)))
Irchas Dwika Suryandaru,1,2022-06-20 01:05:03,"Tolong dong masih bisa buka web, masa gitu."
Rhmat N,1,2022-06-20 00:57:40,Bintang satu dulu . Apa bedanya dengan bot telegram? Cuma menuh menuhin penyimpanan
Nito Harits Hibatullah,1,2022-06-20 00:44:43,"Jadi Ndak bisa buka Sikadu di Web, Gimana ni aplikasi nya"
Nida Nur Fadhilah,1,2022-06-20 00:33:07,Kenape sih ni jadi makin ribet tolong lah udah ukt mahal seengganya jangan makin mempersulit mahasiswanya
EDITOR GEN4,1,2022-06-20 00:16:28,TolooonG. Content Writing UX nya di bgusin
DDM,3,2022-06-20 00:12:47,"Saya kasih bintang 3 dulu sampai bener bener komplit fitur dan yg di web di fix. Alternatif buat yg gak bisa masuk coba kalian reset pakai link ini apps.unnes.ac.id/0 terus masuk, nanti akan ada oops something went wrong nah pada link tadi kalian hapus angka 0 di belakang setelah garis miring lalu login. Gudlak"
Haniyya Nurunnada,1,2022-06-20 00:10:30,"Udah login tapi tetep enggak bisa buka elena, sikadu, dll?"
Aprilianto Cahyo Nugroho,1,2022-06-20 00:08:33,Turunkan ukt segera.... Nanti naikin bintang⭐
Princes Shopia,1,2022-06-19 23:50:34,"Klo fiturnya sama kaya di bot telegram dan masih gk bisa buka sikadu, elena, dll mah sama aja percuma. Mungkin masih baru, bisa dimaklumi. Tpi apa gk mikirin yg memori hp nya penuh, dan repot gk bisa buka sikadu klo gk download"
Adit New,1,2022-06-19 23:47:00,"FOMO, jadi bikin ribet semua"
Denis Denzo,2,2022-06-19 23:12:45,bintang 2 dulu nanti kalo bagus tambah lagi
Ridha Al Rizqi,1,2022-06-19 22:57:58,"Kalo UKT saya diturunkan, janji bintang 5"
